Task_name,Participant #,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response
Movie Task-lms,subject_15,-11,146.2376925,5,9,10,5,7,10,6,5,2,7,5,2,7,10
Movie Task-lms,subject_15,-11,154.2233237,1.1,4.8,1,3,3.7,1,4.1,7.4,3.4,2.5,2.1,4,1,1
Movie Task-lms,subject_15,-11,128.2515844,3.1,1.9,3.7,1,2.2,3.9,2.5,1.1,6.6,1.6,6,4,1.1,1
Movie Task-lms,subject_15,-11,114.1899999,5.1,3,2.5,3.8,2.3,3,3.2,8.3,9.1,3.5,5.5,4.5,2.7,5.3
Movie Task-lms,subject_15,-11,142.1803172,9,3.6,2,3.3,3.1,4.4,4.2,2.7,2.8,2.6,7.7,2.6,2.7,1.7
Movie Task-lms,subject_15,-11,4.6647336,1.7,2,5.1,4,2.7,2.1,3,9.1,7.7,7,5.2,1.9,2.3,5.3
Movie Task-c4,subject_15,11,138.0791069,2.5,3,3.9,1.7,8,3.7,3.1,4.8,4,8,5.9,2.5,3.4,4.6
Movie Task-c4,subject_15,11,201.96098,3.9,4.6,3,3.5,5.5,1,5.7,8,7.9,6,8.2,6.8,6.1,6.8
Movie Task-c4,subject_15,11,83.6159565,4,6,3,5.9,4.6,4,1,1.4,3.2,3.8,5.4,1,5.8,10
Movie Task-c4,subject_15,11,67.0197108,1.4,6.9,5.6,6,2,5,4,5,6,1.6,2,6,5,2
Movie Task-c4,subject_15,11,172.5198372,2.2,10,5,1.2,9.2,4.8,1.4,9,4.2,4,5,6.6,5.6,2.5
Movie Task-c4,subject_15,11,7.1312436,6,1.6,6.9,5.9,1,1,7,1.4,4,2.7,3.2,2.4,4,9
Movie Task-summer,subject_15,-10,109.7086763,2,3.2,4.1,8.6,1.5,3.7,5.8,2.8,6.4,6.3,1,4,1,1
Movie Task-summer,subject_15,-10,188.6493008,2.5,9,7,2,10,3,8.9,7.3,10,10,2,4,2,7
Movie Task-summer,subject_15,-10,161.0460464,2,2,1.6,7.6,7,1.3,9,8.3,9,3.3,7,7,6,3
Movie Task-summer,subject_15,-10,127.0176633,4.5,5.4,9.5,3.6,2,4,8,4,7,7.5,8.3,1.7,4.6,2.9
Movie Task-summer,subject_15,-10,110.9719683,6.3,2.7,4,7,2,6.2,6.4,6.4,7.5,6,9.4,9.3,2.7,5.7
Movie Task-summer,subject_15,-10,5.8618987,7,8,1,10,8,7,5.3,6,8.2,10,4,3,8,9
Movie Task-summer,subject_16,9,120.5521504,4.5,9,4.1,9,10,10,6.6,3.6,4.2,3.3,2.4,5,5,8
Movie Task-summer,subject_16,9,112.6890298,3.9,3.2,5,10,10,10,6.6,4,3.7,5,5.1,5.1,6.8,9.8
Movie Task-summer,subject_16,9,127.9348228,7.4,8,5.8,7.8,9.7,10,6.8,5.3,4.4,4.6,4.8,7,6.3,9.8
Movie Task-summer,subject_16,9,152.7390853,6.1,7.8,6.7,8.6,9.9,10,7.1,3.9,4.5,5.2,7.1,6.8,7.5,4.4
Movie Task-summer,subject_16,9,157.2747186,7.5,7.9,5.4,7.4,9.9,9.3,3.8,4.5,3.8,4.2,5.9,7.2,5.2,2.6
Movie Task-summer,subject_16,9,8.5660922,4.5,7.3,5.8,5.5,8.9,8.8,4,3.7,5.4,4.2,4.6,6,3.8,5.3
Movie Task-c4,subject_16,5,89.7097182,6,4.9,4.4,7.1,7.6,7.5,4.5,5.6,3.8,3,3.4,8,4.2,4.1
Movie Task-c4,subject_16,5,142.5630642,4.5,6.9,5.9,9.2,8,9.7,8.1,4.2,5.1,2.8,6.3,6.5,6.4,4.9
Movie Task-c4,subject_16,5,162.2114767,5.3,5.9,4,3,6,2,5,5.5,4.7,6.7,6.4,5.1,5.6,8
Movie Task-c4,subject_16,5,99.3947591,4,4.9,5.8,4.5,8,8.3,5.3,3.8,4.4,4.1,6.9,7.3,5.4,2.9
Movie Task-c4,subject_16,5,172.0867961,3.9,7.7,5.1,8.1,7.8,9,6.2,6,3.6,4.5,6.3,8,3.7,3.5
Movie Task-c4,subject_16,5,4.5256295,6.6,8.4,5.3,6,8,8.4,6.7,7.7,6.3,6,10,5.5,6.4,4.2
Movie Task-lms,subject_16,8,205.8167457,5.7,7.2,5.6,6.6,6.3,7,5.1,6.3,5.9,5.5,5.5,5.8,6,4.6
Movie Task-lms,subject_16,8,68.6208467,7,6.2,6.2,5.7,6,6,5,7,6.3,5.5,5.3,5.9,6,4.6
Movie Task-lms,subject_16,8,117.2430498,7,7,5.4,7.4,7,8.2,9,5.8,8.1,5.6,5.8,6,6,4
Movie Task-lms,subject_16,8,189.2336772,4.6,5.7,5.2,5,7.8,9,7,6.3,4.7,5.1,6.8,5.6,6.5,7.8
Movie Task-lms,subject_16,8,66.6684306,6.6,6.8,5.9,7.9,4.4,7,5.8,5.3,5.6,5.9,5.5,9,6.2,3.9
Movie Task-lms,subject_16,8,4.6616226,2,6.6,5.9,8.1,8.7,8,5.7,6.9,6.1,4.3,5.4,6.2,6.6,5.4
Movie Task-c4,subject_17,-13,220.084965,9.4,5.8,7.5,2.5,6.3,7,6,8.5,2.9,8.3,6.1,6.1,5.9,6.7
Movie Task-c4,subject_17,-13,98.8614564,7.5,5.3,2.8,2.6,4.3,7,3.5,7.9,4.3,7.1,6.7,8.1,4,7.3
Movie Task-c4,subject_17,-13,84.8165028,5.9,8.4,5.3,4.3,6.4,2.7,7.8,8.1,5.1,8.6,6.4,5.2,6.4,4.9
Movie Task-c4,subject_17,-13,190.1829573,7.3,8.4,8.1,3.9,5.9,3.7,8.4,8.7,8.7,8.3,8,8.3,3.9,7.4
Movie Task-c4,subject_17,-13,127.8673143,6.4,8.3,8.9,7.3,5.5,7.5,9.1,8.1,8.8,9.3,7.9,9.2,6.6,8.4
Movie Task-c4,subject_17,-13,4.1958636,7.7,5.3,5.1,8.7,4.7,7.4,9.6,7.5,6.5,6.3,7.6,6.8,5,4.6
Movie Task-lms,subject_17,-6,207.4249574,6.8,4,4.5,6.2,5.3,5.1,5.5,6.2,4.2,7,5.8,5.4,7.8,5.3
Movie Task-lms,subject_17,-6,51.8927925,3.6,5.9,3.6,6,5.4,5.8,5.9,6.3,4,7.1,4.6,6.7,5.5,5.8
Movie Task-lms,subject_17,-6,95.8944118,6.1,1.9,6.2,4.4,3.6,5.2,6.5,6.6,6.5,4.6,6.2,6,6.2,8
Movie Task-lms,subject_17,-6,185.9967714,6.9,1.6,4.4,7.9,5,3.9,6.5,5.8,4.3,7.1,6.3,7.5,9,6.4
Movie Task-lms,subject_17,-6,65.5180882,6.5,5.2,5.7,7.6,3.3,7.1,2.8,6.8,7.5,7.4,4.9,5.5,4.6,3
Movie Task-lms,subject_17,-6,3.5093395,3.9,6.4,2.2,8.7,7.4,2.9,2.8,4.4,7.4,5.4,8.4,2.7,7.1,5.5
Movie Task-summer,subject_17,-7,173.1464992,2.1,4.6,8.4,4.1,2.4,4.5,7.6,4.7,6.6,2.2,6.7,6.2,7.1,6.2
Movie Task-summer,subject_17,-7,95.5748025,7.9,7.2,4.5,4.1,5.7,7.7,8.3,1.2,4.4,8.5,7,7.2,3.1,1.6
Movie Task-summer,subject_17,-7,81.8142252,8.2,9.1,7.9,6.4,8.3,5,8.3,4.5,8.3,8.1,8.3,7.4,8.6,7.1
Movie Task-summer,subject_17,-7,188.1646947,5.7,7.4,4.4,8.4,7.4,9.6,8.2,7.4,7.1,8.1,5.7,7.9,1.9,6.1
Movie Task-summer,subject_17,-7,126.4661065,3.9,8.2,7.7,3.9,8,5,8.2,5.2,4.9,4.7,7.5,7.3,6.3,5.4
Movie Task-summer,subject_17,-7,3.7114475,3,6.7,3.3,8.8,5,5.1,5.7,8.1,3.3,5.1,4.2,6.1,3.8,2.9
Movie Task-c4,subject_18,9,139.1469555,7.3,7.2,6.2,7.6,9,10,7,8,5.9,5.9,4.4,5.6,7.1,5.7
Movie Task-c4,subject_18,9,206.2022108,6.1,7.6,7.5,5.6,5.5,10,7,6.9,5.9,4.7,5.6,5.5,10,5
Movie Task-c4,subject_18,9,90.6061653,5.7,10,6,8.3,6.8,8.3,7.5,2.3,1.9,1,8.5,7.8,5.4,5.7
Movie Task-c4,subject_18,9,75.3112244,8.5,10,7,5.7,2.6,10,7,2.3,2.1,1,8,8.4,1,4
Movie Task-c4,subject_18,9,178.7464085,8.7,7,6.6,5.7,2.4,8.5,5.5,6.1,2,3.9,3.2,7.9,1,2
Movie Task-c4,subject_18,9,7.7303845,3.8,5.8,1,1,1,2,1.5,1,1.8,4.1,8.7,2.5,2,5.6
Movie Task-summer,subject_18,-11,210.2243005,7.2,10,2,8.1,10,9,8.3,2.2,5.8,1,8,9.2,1.2,10
Movie Task-summer,subject_18,-11,55.9619967,5.4,9,1,6.2,2.7,6.5,5.4,4.3,1,1.8,2.2,6.7,4,8.3
Movie Task-summer,subject_18,-11,99.1643767,6.7,8.7,7,1,5.8,8.4,7.8,5.7,5.6,2,3,7.8,5.7,10
Movie Task-summer,subject_18,-11,191.2063541,3.1,10,1,6,9,7,7.7,5.5,9.1,1.3,3.7,4.7,1,7.7
Movie Task-summer,subject_18,-11,71.3415322,6,9.3,9,7.4,7.5,7,3,2.5,8,3,2.8,5.2,10,7
Movie Task-summer,subject_18,-11,5.7915474,6.9,8.4,6,3.3,6,7.6,5.7,5.2,5.6,1.7,6.3,7.4,7.2,5.6
Movie Task-lms,subject_18,13,163.7197563,5.7,7.9,8,8.6,5.7,7.3,7.5,5.6,5.5,2.9,7.9,5.4,7.7,3.6
Movie Task-lms,subject_18,13,158.211617,8,7,8.7,5.6,5.5,5.5,5.5,6,5.3,5.3,4.9,6,7.9,4.2
Movie Task-lms,subject_18,13,113.3762002,5.5,9.1,8,5.8,5.3,6,6.6,6.6,5.9,1.9,5.6,10,8.8,7.4
Movie Task-lms,subject_18,13,128.054474,5.8,8.5,8,6.7,8,6.5,5.9,4.5,2.7,1.4,5.7,5.4,6.4,8.9
Movie Task-lms,subject_18,13,126.7856019,8.1,5.6,4,5.7,5.9,6,5.4,7.5,7.3,3,6,5.6,6.8,5.8
Movie Task-lms,subject_18,13,5.1890472,5.5,3,5.4,2,5.1,5.8,4.7,5.7,2.4,2.7,5.2,5.4,4.5,5.3
Movie Task-c4,subject_27,-14,241.1057427,7.6,10,3,6,1,1,10,7.5,7,3,6.5,1,3,5
Movie Task-c4,subject_27,-14,58.0288855,3,10,3,5,1,4.1,10,5,10,2.5,7,3,5,4
Movie Task-c4,subject_27,-14,120.4954069,2.7,6.2,2.9,3.5,3,3.1,4,3.3,1.9,3.6,7,1,2.9,5.1
Movie Task-c4,subject_27,-14,193.7534063,6,8.7,1.3,3.9,2,2.8,2.4,7,5.2,1,7.5,1,1,5.1
Movie Task-c4,subject_27,-14,70.0556118,4.1,8.6,2.5,1,1,2.6,5.2,3.2,4,2.4,9.5,1.3,7.5,5
Movie Task-c4,subject_27,-14,4.9544782,3.6,7.1,7,5,4.9,4.5,6.4,3.6,4.1,4.1,7.5,2.5,7,5
Movie Task-lms,subject_27,-9,85.9776048,4.1,5.8,1.3,2,1,8.3,6.3,1.3,1.9,1.5,5.3,1.9,4.2,7.8
Movie Task-lms,subject_27,-9,157.7914232,5.2,7.9,7.8,2,2,2.4,7.9,4.9,2.1,5.5,5.5,6.6,1.9,4.8
Movie Task-lms,subject_27,-9,113.9069648,4.7,7.4,9.4,1,1.4,1.8,2.6,2.7,3,2.5,5.4,2,7.7,5.9
Movie Task-lms,subject_27,-9,118.4107319,2.5,8.9,7.8,3.2,7.6,6.9,3.4,3.7,6.5,2.6,6.2,4.9,8.5,6.6
Movie Task-lms,subject_27,-9,143.0298611,2.8,7,2.3,1,8.2,1.9,2,2.8,7.5,7.2,4.9,1,7,5.5
Movie Task-lms,subject_27,-9,8.4653581,7,7.8,7.3,1,7.1,8.5,2,2.2,5.1,2.8,6.7,2.7,8,7.2
Movie Task-summer,subject_27,14,189.8876622,6.5,9.7,10,2.5,2.6,1.7,8.1,6,2.6,3.8,6.1,7.1,10,8.9
Movie Task-summer,subject_27,14,112.6054051,7,10,9.8,4.3,10,8.6,2.8,2.6,2.6,2.7,4.3,7,10,9.6
Movie Task-summer,subject_27,14,143.7963052,8.2,10,3.9,6.6,3.1,7.5,9,1.8,3.8,1.9,5.6,9,10,10
Movie Task-summer,subject_27,14,99.1112422,5.1,10,8.9,3.5,3.1,7.3,10,2.8,2,3.1,5.8,5.4,10,3.5
Movie Task-summer,subject_27,14,159.9777287,7.4,10,9.1,2.9,2.8,8,9,2.6,2.6,1.9,4.8,4.3,3.9,2.2
Movie Task-summer,subject_27,14,11.5855153,5.4,9,7.8,2.9,2.2,4,7.5,3.2,2.4,2.4,5.7,5,8.1,4.4
Movie Task-summer,subject_38,-13,211.3282603,2.7,10,8.9,5,7.2,5.8,8,2.5,2.1,5.2,8,8,7.2,5
Movie Task-summer,subject_38,-13,120.1625601,9,10,7.9,4.2,8.7,9,1.9,2.8,5,5.1,8.7,8.2,5.1,9.9
Movie Task-summer,subject_38,-13,162.1961372,8.9,10,1,9,10,9.2,9.8,4.9,10,2.2,10,8.9,7.1,10
Movie Task-summer,subject_38,-13,160.9438462,5.5,9.4,4.4,5,3.5,5.1,5.1,4.5,5.2,4.4,5.3,4.8,5.4,5.5
Movie Task-summer,subject_38,-13,100.3953768,8.5,9.3,2.5,8.4,9,9.3,9,2,2.8,2,9,9.2,1.4,2.7
Movie Task-summer,subject_38,-13,6.1151328,1.3,1.8,1.6,2.1,1.5,1.4,1.6,1,2.5,1,1.6,1.3,1.7,5
Movie Task-lms,subject_38,8,171.9955305,1.7,2,2.1,1.9,2,2,2,2,2.4,1.6,2.1,2,3.3,4.2
Movie Task-lms,subject_38,8,158.7263028,1,2,1.5,2.1,1.6,1.2,2.2,1.7,1.8,1.1,2,1.7,1.8,5
Movie Task-lms,subject_38,8,111.8721443,2.5,1.7,1.6,1.7,3,1.5,2,1.8,1.3,2.3,2,2.3,2.1,8.5
Movie Task-lms,subject_38,8,127.4845856,1.8,1.9,2,2.1,1.9,1.9,2.3,1.6,2,1.4,1.3,1.9,2,7.1
Movie Task-lms,subject_38,8,127.5516464,1.4,1.7,2.2,2.1,1.6,2.3,1.3,2,1.6,2.4,1.8,1.7,2.5,8.4
Movie Task-lms,subject_38,8,5.0160888,2,1.6,2.1,1.3,1.9,2,2.4,1.7,1.9,1.8,1.6,1.7,2.9,1.7
Movie Task-c4,subject_38,8,191.3718129,9.4,8.8,8,8,8,7,7.9,8.2,8.2,8.1,9,9,9,8.5
Movie Task-c4,subject_38,8,51.6408564,8.7,9.3,9.2,7.8,9.4,8,9.2,9,9.1,7.5,9,9.3,8.2,9.1
Movie Task-c4,subject_38,8,97.0930041,8.7,10,9,8.2,8.1,8.7,8.6,8.4,8.6,8.1,10,4,8.5,9
Movie Task-c4,subject_38,8,186.9819265,7,9.2,8.6,7.2,8.6,8,8.4,8.4,8.6,5.6,9,6.5,7.9,4.4
Movie Task-c4,subject_38,8,67.8036128,8.6,8,8.7,8,7.9,9.1,8.1,10,9.3,9,9.5,9.4,9.1,7.8
Movie Task-c4,subject_38,8,4.4768068,10,3,9,3.8,5,4.8,5,6,4.1,4.1,3.9,4,4,3
Movie Task-lms,subject_39,-11,132.2573749,6.5,1.7,1,1,6.3,4,6.1,4.8,2.3,6.5,1,7.1,1,3.3
Movie Task-lms,subject_39,-11,122.8473275,7.2,2.4,1,1,3.6,3.1,10,4.1,2,9.4,1,7.8,1,2.3
Movie Task-lms,subject_39,-11,129.7690839,7.7,1,1,1,2.7,8.3,10,8.5,4.3,9,7.6,7.2,1,7.1
Movie Task-lms,subject_39,-11,144.8325374,6.5,8.1,1,1,8.5,7.1,10,6.8,1,7.8,2.7,2.8,1,9
Movie Task-lms,subject_39,-11,158.025298,7.4,6.6,1,1,5.2,9,7.7,6.5,1,7,5.1,2.3,1.5,3.3
Movie Task-lms,subject_39,-11,5.9953867,8.1,4,3.7,2.5,2.6,8.6,2,6.9,1,7.6,6.9,2.8,1,6.5
Movie Task-summer,subject_39,-10,92.307403,8.9,1,1,1,1,10,2.8,2,1,7.9,4.3,7.3,8.3,7.4
Movie Task-summer,subject_39,-10,143.4314836,7.9,1,3,1,2.9,8.8,6.6,7.3,1,6.8,2.9,5.4,1.6,9.6
Movie Task-summer,subject_39,-10,160.9431797,7.3,1.8,1,1,1.6,7.4,3.5,7.8,1.7,6.8,4.6,6.4,7.5,7.9
Movie Task-summer,subject_39,-10,102.0642514,7.4,1.7,6.1,1,1,9.3,8.4,8,1.5,8.7,4.6,6.8,6.3,7.5
Movie Task-summer,subject_39,-10,173.771298,7.9,1,1.1,1,1.3,9.1,10,8.4,1,8.9,3.5,10,1.2,1.4
Movie Task-summer,subject_39,-10,9.105066,7.4,1,1,1,1,9.7,9.1,7.7,1,9.4,2,3.5,1,3.2
Movie Task-c4,subject_39,15,137.2295879,7,1,1.7,1,3.9,9.2,8.9,6.5,1.2,7.3,3.5,8.2,2,2.9
Movie Task-c4,subject_39,15,144.6149015,7.3,1.3,6.9,1,1,7,2.5,9.1,4.8,8.3,1,2.1,5,3.5
Movie Task-c4,subject_39,15,131.9708898,7.7,1,7.5,2,1,8.1,4.9,6.8,3.2,7.2,1.6,3,5.7,5.1
Movie Task-c4,subject_39,15,112.5726324,5,4,5.6,1,1,9.1,2.3,8.2,2.9,8.9,1.8,5,5.3,3.5
Movie Task-c4,subject_39,15,144.0817811,8.6,5.1,3.5,1,1,8.2,5.2,8.4,1.4,8.1,1,5.4,1,4.3
Movie Task-c4,subject_39,15,6.1525632,9.2,7.9,1,1,1,6.9,3.4,8.4,2.5,7.8,2.7,7.3,6,4
Movie Task-lms,subject_40,-9,157.6202216,10,10,6,6.3,6.9,2,10,1,2,5,8,7,3,4
Movie Task-lms,subject_40,-9,118.4100052,9.2,8.3,4.5,7.4,1,8.9,10,1.5,1.2,4,8.2,8.4,2.8,1
Movie Task-lms,subject_40,-9,147.2822922,8,8.6,7,8.9,3.2,6.4,1,5.3,6.2,7.4,3.5,9.5,9,2.6
Movie Task-lms,subject_40,-9,130.1516821,8.9,9.4,7.2,8,5.9,8.3,1,2.1,1.9,2.4,2,3.1,7.4,8.6
Movie Task-lms,subject_40,-9,99.8121039,7.3,8.7,1.3,8.4,6.8,9.5,2.1,2.2,1.8,6,8.5,7.6,5.7,3.3
Movie Task-lms,subject_40,-9,6.5441389,6.1,7.5,1,6.9,2,8,5.8,1,5.5,6.5,2,5.9,7.3,5.5
Movie Task-c4,subject_40,8,122.6982891,9.1,5.9,1.9,7.4,1,2.3,2.5,1.1,1.7,2.7,1.3,7,8,2.4
Movie Task-c4,subject_40,8,205.1118426,10,7.5,1.2,8.5,2.1,8.6,10,1,2,8,2.3,7.8,1.9,1.4
Movie Task-c4,subject_40,8,83.5148107,1.9,4.9,2,5.8,2.2,2.2,3.2,6,6.4,6.1,1.8,3.6,7.7,5.3
Movie Task-c4,subject_40,8,67.7865834,8.3,5.6,3.4,6.9,1.9,7.3,3.1,3.3,1.8,7.6,3.1,7.1,10,3.3
Movie Task-c4,subject_40,8,173.453073,7.8,7.5,3,2.5,2.2,8.4,2.4,2.4,5.5,8,7.2,9.7,10,1.1
Movie Task-c4,subject_40,8,5.8579922,8.6,10,3.9,6.5,6.3,8,1.9,2.6,2.9,3,3.1,6.9,10,1
Movie Task-summer,subject_40,5,135.2122323,6.9,7,3.9,3,1,8.1,10,2.3,1.9,2.2,8.6,8.1,2.2,3.5
Movie Task-summer,subject_40,5,142.7290786,10,10,2.4,5.7,1,10,9.1,2.5,7.5,3,6.9,10,10,10
Movie Task-summer,subject_40,5,129.1680749,9,10,3.4,3.1,1,7,10,1.8,1,3.3,3,7.7,9.1,9
Movie Task-summer,subject_40,5,113.2049552,7.7,7.4,2.7,6.5,1,9.2,2,1.5,2.2,6.8,3,2.7,2.5,3.7
Movie Task-summer,subject_40,5,142.2776605,9,7.1,2.8,7.2,2.2,10,2.7,2.1,2.7,7.2,2.4,7.6,1.6,1
Movie Task-summer,subject_40,5,5.5272434,8.5,7.4,3,8,2.7,7.6,6.1,2.4,1.9,3.2,2.9,6.4,1,1
Movie Task-lms,subject_41,14,146.7049008,6.5,1.8,4.3,2,6.3,8.3,8.2,2,2,1.4,6.1,7.7,2.8,9.1
Movie Task-lms,subject_41,14,199.1116068,8.6,4.8,7.2,3,2.3,7.3,5.4,3,6.1,2.9,7,6.2,8,2.2
Movie Task-lms,subject_41,14,163.5978983,1.9,1.3,5.7,1.6,5.8,8.9,2.4,2,1.8,2.1,1.7,1.6,2.1,1.6
Movie Task-lms,subject_41,14,133.4224325,5,3,4.7,1.8,1.5,6.1,3,6,5.9,4.8,7.3,4.5,1.4,4.5
Movie Task-lms,subject_41,14,120.1799656,4,1.7,2.2,2.2,2.2,6.3,4,2.2,2.2,3.1,1.9,1.8,4.3,6.7
Movie Task-lms,subject_41,14,22.5166215,1.8,2,2.3,2.9,1.8,1.6,2.1,2,1.9,1.7,1.7,1.7,1.4,5.1
Movie Task-summer,subject_41,-10,160.2343106,3.9,4.1,5.4,2.8,3.1,3,1.8,1.7,2.3,2.7,1.7,2.8,3.9,8.1
Movie Task-summer,subject_41,-10,71.4572568,2,1.5,1.7,2,2.5,6.9,2.2,1.7,1.7,1.6,1.5,4.7,1.5,8.4
Movie Task-summer,subject_41,-10,225.2809047,3.2,2.2,2.3,2.6,2.8,3.1,2.9,1.8,3.5,2.3,2,3.5,1.7,8
Movie Task-summer,subject_41,-10,73.591864,4.7,4,3.6,2.4,2.1,2,3.4,1.9,2.5,1.8,1.8,2.2,1.8,6.8
Movie Task-summer,subject_41,-10,131.005863,7,1.8,2.3,1.9,1.5,6.9,2.1,2.1,2.5,2.4,1.6,3.9,2.3,4.1
Movie Task-summer,subject_41,-10,8.7833844,4.4,4.1,3,1.9,2.3,4.1,5.8,2.6,1.7,2,1.8,4.4,2.5,6.2
Movie Task-c4,subject_41,10,121.3675561,8.5,9.2,8.2,3.9,2.6,7.8,8.4,6.6,8,7.6,8.7,3.3,8.3,5.3
Movie Task-c4,subject_41,10,116.4612098,6.7,7.7,5.9,4.3,2.7,2.3,7.9,6.6,7.1,8.4,8.9,6.7,7.1,5.2
Movie Task-c4,subject_41,10,146.3663314,8.5,8.4,6.9,1.8,2.4,3.1,5.9,7.9,7.8,6.9,8.9,6,7.8,4.4
Movie Task-c4,subject_41,10,132.322978,5,3.6,6.6,7.1,2.4,4.9,5.4,6.9,6.6,5.1,6,3.7,5.5,4.3
Movie Task-c4,subject_41,10,100.1977822,6.7,2.8,7.1,2.9,2.5,3.9,4.8,7.7,8.7,3.5,8.8,2.1,6.9,5.5
Movie Task-c4,subject_41,10,5.5304621,7.3,5.9,6.2,8.6,3.9,1.7,8.6,8.5,7.4,8,9.2,7,7.2,5.3
Movie Task-lms,subject_45,-13,181.9549444,2.4,3.9,3.3,6.9,6.5,6.2,5.4,2.1,2.2,6,7.5,6.5,2.3,1
Movie Task-lms,subject_45,-13,71.9235911,6.2,5.6,4.6,7.7,6.7,6,3.2,3.6,2.7,6.9,7,5.9,4.4,1
Movie Task-lms,subject_45,-13,221.2087502,3.8,4.2,4.1,6.7,6.6,6.2,5.3,7,6.4,5.1,4.9,4.8,3.5,5.3
Movie Task-lms,subject_45,-13,74.2584416,6.8,7,4.1,7.4,6.3,7,4.9,4.6,4.2,4.2,4.5,6.3,4.5,7.5
Movie Task-lms,subject_45,-13,131.3377977,4.8,6.7,4,6,6.2,6.1,4.1,4,3.9,4.2,4.4,6.5,3.8,2.4
Movie Task-lms,subject_45,-13,5.8857948,4,7.9,4.5,7,6.8,7,3.9,5.1,3.5,4.5,4.2,5.8,3.4,5.4
Movie Task-c4,subject_45,9,187.0462032,4.9,7.3,5,7.3,6.7,6.3,3.1,3.3,3,4,3,5.9,6.5,5
Movie Task-c4,subject_45,9,114.641728,4,7.6,4,6.5,6.9,6.8,4.6,3.5,3.7,3.8,4,5.5,4,4.8
Movie Task-c4,subject_45,9,102.1964919,3.5,6.4,3,6.7,6.5,6,3,3,3,4.1,3.7,6.6,4,5.2
Movie Task-c4,subject_45,9,142.8136187,3.9,7.2,3.3,6.5,7.1,6.6,4,4,4.5,4.1,3.7,3.5,4.2,6
Movie Task-c4,subject_45,9,98.8625022,6.5,7,3.7,6.2,6,6.5,4.9,7.4,7,6.2,3,6,2,5.2
Movie Task-c4,subject_45,9,7.8466043,6.2,6.7,4.2,6,8,6.1,3,7.1,6,5.5,3.4,3.8,3,5.4
Movie Task-summer,subject_45,5,101.989207,4.2,8,4,6.5,6.1,8,4,4,3,4.8,4.1,7,4.8,8
Movie Task-summer,subject_45,5,111.9387586,3.5,7.8,3,6.7,7,6.2,4.5,4.1,3.3,4.3,4.2,3.9,3.1,8.2
Movie Task-summer,subject_45,5,127.9030547,2.5,8.6,2.7,8,6.7,6.6,3.4,2.8,2.2,2.9,3.2,4.9,3.5,9
Movie Task-summer,subject_45,5,150.6526045,2.2,7.5,3.1,6.6,6.6,6.6,3.6,2.9,1.9,2.6,3,3,6.6,8.6
Movie Task-summer,subject_45,5,157.3747075,3,7,2.9,6.9,6.9,6.7,2.8,3,2.2,2.7,3.4,4,4,6.5
Movie Task-summer,subject_45,5,5.6213185,2.4,6.6,2.3,6,6.8,6.5,3,2.7,2.2,3.1,3.5,4.5,2.6,4.3
Movie Task-summer,subject_60,6,212.1237559,2.2,2.9,3.8,7.3,2.8,1,5.3,7,2.4,7.4,1.9,3.7,5,8.8
Movie Task-summer,subject_60,6,107.1011285,2.6,7.3,2,10,9.7,1,1,2.3,1.5,7,4.1,2.4,3.7,9.4
Movie Task-summer,subject_60,6,92.8561507,8.6,7.5,8,9.9,8,2.1,1.3,7.3,8.3,7.6,5.7,7,2.8,5.7
Movie Task-summer,subject_60,6,196.1076799,4.2,6,1,5.6,2.6,7.3,7,3.1,2.6,7.9,2.1,6.9,3.9,4.1
Movie Task-summer,subject_60,6,132.0880108,3.1,8,3.5,2.8,2.9,7.8,1.9,2.2,1.9,8.9,7.2,2.2,8.6,5.1
Movie Task-summer,subject_60,6,8.685303,2.3,6.5,1.1,8,2,1.8,2.7,1,1,8.5,1,2.5,6.3,2.6
Movie Task-lms,subject_60,-5,143.4638166,4.8,8.8,8.4,7.7,1.7,8.9,8.7,2.4,2.4,9.1,7.6,8.8,1.5,1.5
Movie Task-lms,subject_60,-5,146.2650752,9.1,8.8,8.9,9.8,1.9,1.4,6.9,7.6,1.3,8.6,1.8,7.2,1.5,2.5
Movie Task-lms,subject_60,-5,130.0200922,8,8,1.1,7.8,1,8.3,1.7,2,1.4,3.7,1.6,1,2.1,5.3
Movie Task-lms,subject_60,-5,115.6923797,6.8,7.6,1.7,7,2.4,7.1,3.2,2.5,1,7,2.7,8.2,1.3,7.3
Movie Task-lms,subject_60,-5,144.3147534,8.9,2.3,8.8,1.2,1.8,6.9,6.8,8.1,7.9,9,1,8.5,1.6,3.3
Movie Task-lms,subject_60,-5,6.9977014,2.3,9.2,4.6,8.9,1.5,7,1.8,1.3,1.1,7.5,1.7,7.6,1.9,3.2
Movie Task-c4,subject_60,-10,98.6363829,8.6,5.9,8.3,1.9,1.9,8.6,2.4,2.5,1.8,9.3,7.9,10,7.4,3.1
Movie Task-c4,subject_60,-10,148.7342352,2.8,7.1,7.3,8.5,1.6,1.4,2.7,2.8,1.4,8.3,2.2,2.2,1.6,5.5
Movie Task-c4,subject_60,-10,158.1755512,3.3,8.2,2.2,9.6,2.2,1.1,8.5,6,3.7,8.2,1.8,2.2,2,3.4
